"Yorum","Yildiz"
"24 aralık batum tiflis Kars Erzurum turuna katıldık. Batumda ali nino heykeli görülmedi. Programda yer alan sinagihi, sameba katedrali , mikhseta ya gidilmedi. Tiflis de ilk gün oteli her açıdan berbattı. Kars a zaten akşam vardık. On iki havariler kilisesi gezilmedi. Ayrıca çıldır gölüne de gidilmedi. Erzurumu da akşam gezdik. Plan-program sıfırdı.","1"
"Şu an 7 Kasım çıkışlı olarak Abant, Yedigöller, Şile, Ağva turundayım. 2. Günümüzde yaşadığımız onlarca rezaletin birkaçından bahsetmek istiyorum. Öncelikle turumuzda bile eşlik eden rehberimiz Levent Beydi. Kesinlikle planlı bir tur değildi. İlk gün sabah öğlen aynı anlaşmalı firmaları Cafer de yemek yemek zorunda kaldık. Yemeklerin kalitesi ve hijyeni çok kötüydü. Yedigöllere gidiş saati planlanamadığı için en trafik olan saatte gittik ve hava karardıktan sonra o tehlikeli yollarla ekstra 600 tl verdiğimiz servislerle dönmek zorunda kaldık korku içinde. Şu an 2. Günümüz yine bir anlaşmalı pişmaniyecide 1 saatten fazla zaman geçirip korkunç yemekler yemek zorunda kalıp programımızdaki Ağvaya gidilemeyeceğini öğrendik. Çünkü saat 16.00 oldu ve biz yalnızca anlaşmalı oldukları esnafları gezebildik. Bu saatten sonra şileyi de ne kadar gezebiliriz meçhul. Hem de rehberimiz tarafından bu plansızlıkları sebebiyle bir özür duymak yerine oraya sadece yazın denize gitmek ve tekneye girmek için gidildiğini duyduk. Çocuk kandırır gibi kandırmaya çalıştıkları rezil olduğumuz bir turdu. Kimseye önermiyorum. Güvenilir diğer turları tercih etmeniz tercihimdir. Şu an turdan yazıyorum ki bu mağduriyetlerin de telafi edilmediğini bilin.","1"
"Cmr Turizm İzmir aracılığıyla 4 kişilik ailemle birlikte Dubai’ye 29 Aralık 2025 giriş – 6 Ocak 2026 çıkış olmak üzere 6 gece 9 gün yılbaşı özel turu satın aldık. Ödeme yapmadan önce özellikle ve defalarca Dubai jbr Marina bölgesindeki Hilton double tree otelinde konaklamak istediğimizi açıkça belirttik. Firma tarafından bu konuda defalarca teyit verilerek güvenimiz kazanıldı ve toplam 4.900 Euro ödeme yaptık. Ancak Dubai’ye vardığımızda bize vaad edilen jbr Marina’daki otel yerine, Marina’dan yaklaşık 30 km uzaklıktaki başka bir Hilton double tree oteline yerleştirildiğimiz ortaya çıktı. Bu durum açıkça yanıltma / yanlış bilgilendirme olup, satın aldığımız hizmetin en temel şartına aykırıdır. Daha da vahimi, ertesi gün durumu firmaya bildirmemize rağmen telefon aramalarımıza ve WhatsApp mesajlarımıza kesinlikle geri dönüş yapılmadı. Tatilimizin ortasında yalnız bırakıldık, hiçbir çözüm sunulmadı, hiçbir açıklama yapılmadı. Bu yaklaşım hem profesyonellik dışıdır hem de müşteriyi hiçe saymaktır. Bu yanlış yönlendirme yüzünden, Marina’ya gidebilmek için 6 gün boyunca sabah-akşam olmak üzere günde 4 kez taksi kullanmak zorunda kaldık. Her yolculuk ortalama 1 saat sürüyordu ve bu durum bize hem ciddi maddi yük hem de tatil boyunca zaman kaybı ve stres yaşattı. Üstelik iki genç çocuğuma tatilden önce Marina’da eğlenceli bir yılbaşı tatili sözü vermiştim. Ancak çocuklarım büyük bir hayal kırıklığı yaşadı. Bu yalnızca “otel değişikliği” değil; yılbaşı tatilimizin temelden bozulmasıdır ve bunun telafisi yoktur. Ayrıca eğer Marina’dan bu kadar uzak bir bölgede kalacağımız baştan söylenmiş olsaydı, 5 yıldız otel yerine daha uygun bir otelde kalır, bütçemizi buna göre planlar ve maddi açıdan çok daha karlı çıkardık. Kısacası bize satılan ürünle, verilen hizmet asla aynı değildir.
Bu nedenle cmr Turizm’den:
Yanlış bilgilendirme ve vaat edilen hizmetin sağlanmaması iletişimsizlik ve çözüm sunmama, ek olarak taksi masrafları ve tatilin bozulması sebepleriyle mağduriyetimin giderilmesini ve ücret iadesi yapılmasını talep ediyorum.
Aksi halde kanıtlarımla cimer ve tüketici hakları dahil tüm mercilerle mağduriyetimi paylaşıp hakkımı hukuki olarak arayacağım ..","1"
"CMR Turizm İzmir üzerinden 4 kişilik ailemle Dubai’ye 29 Aralık 2025 giriş – 6 Ocak 2026 çıkış tarihleri arasında 6 gece 9 gün yılbaşı özel turu satın aldık. Bu turu satın almadan önce özellikle ve açık şekilde Dubai JBR Marina bölgesindeki Hilton DoubleTree otelinde konaklamak istediğimizi defalarca kez belirttik. Firma tarafından bu konuda ısrarla teyit verildi, güvenimiz sağlandı ve bunun üzerine 4.900 Euro ödeme yaptık.
Ancak Dubai’ye vardığımızda yaşadığımız durum tam anlamıyla skandaldır. Bize vaat edilen JBR Marina’daki Hilton DoubleTree yerine, Marina’dan yaklaşık 30 km uzakta bulunan başka bir Hilton DoubleTree oteline yerleştirildik. Bu durum yalnızca “otel değişikliği” değil; satın aldığımız hizmet şartlarının kasıtlı şekilde ihlali, tüketicinin yanıltılması ve açıkça mağdur edilmesidir.
Daha da vahim olanı: Ertesi gün durumu firmaya bildirmemize rağmen telefon aramalarımıza ve WhatsApp mesajlarımıza tek bir dönüş bile yapılmadı. Bu, müşteriyi tatilin ortasında yalnız bırakmak, umursamamak ve sorumluluktan kaçmaktır. Ne çözüm, ne açıklama, ne özür… Hiçbir şey!
Bu bilinçli veya ağır ihmalkâr yönlendirme yüzünden, Marina’ya gidebilmek için 6 gün boyunca sabah-akşam günde 2 kez taksi kullanmak zorunda kaldık. Her yolculuk ortalama 1 saat sürdü.
Bu süreçte:
Ekstra ciddi taksi masrafı ödedik,
Tatilimizin en değerli zamanı yolda ve trafikte heba oldu,
Sürekli ulaşım stresiyle tatil keyiften çıktı, eziyete dönüştü.
Bu durumun maddi kısmı bir yana, asıl zarar manevidir. İki genç çocuğuma tatilden önce özellikle Marina’da eğlenceli bir yılbaşı tatili sözü vermiştim. Çocuklarım bu tatilde büyük bir hayal kırıklığı yaşadı.
Bu, “telafi olur” denilecek bir konu değildir. Çocuklarımın yılbaşı tatili çalındı.
Ayrıca şunu da net söylemek gerekir: Eğer Marina’dan bu kadar uzak bir noktada kalacağımız önceden belirtilseydi, 5 yıldız otel yerine 3 yıldız bir otelde kalır, bütçemizi buna göre ayarlar ve binlerce euro daha az öderdik. Bana satılan paket ile sunulan hizmet aynı değildir. Bu açıkça ayıplı hizmettir.
Bu nedenle CMR Turizm’den yalnızca “kısmi iade” değil:
✅ Ücret iadesi + ulaşım masraflarının karşılanması + yaşatılan mağduriyet için manevi tazminat talep ediyorum.
Aksi halde bu süreci yalnızca şikayet platformlarında bırakmayacağımı açıkça beyan ederim.
Tüketici Hakem Heyeti / Tüketici Mahkemesi başvurumu,
Ayıplı hizmet ve yanıltıcı satış kapsamında yasal haklarımı,
Gerekirse savcılık dahil tüm hukuki yolları
sonuna kadar kullanacağım.
Ayrıca elimde bulunan:
Otel teyit yazışmaları,
WhatsApp mesajları,
Konum/mesafe kayıtları,
Taksi ücretleri ve fişleri
ile bu mağduriyeti belgelendireceğim.
Bu kadar net bir şartı defalarca teyit edip sonra bambaşka bir konaklamaya yönlendirmek ve üstüne müşteriye günlerce dönüş yapmamak kabul edilemez.
Bu mağduriyetin bedelini ben değil, hizmeti yanlış olan siz ödeyeceksiniz !","1"
"Şuan 7 kasım çıkışlı abant yedigöller maşukiye ormanya şile ağva turundayız. Gezipol tarafından ikinci otobüsümüz diye buraya yönlendirildik. İlk günümüzde sabah ve öğle yemeği için yol üstünde bulunan yerde yemek zorunda bırakıldık. Mekanda hijyen hiçbir şekilde yoktu ve yemekler çok kötüydü. Sonrasında herhangi bir yerde yemek de yiyemedik. Otele geldigimizde saat 10 u geçmişti ve o zamana kadar aç durmak zorunda kaldık. Ve rehber asla bir gecikme yaşadık kusura bakmayın tarzında bir cümle bile kurmadı. İkinci günde de aynı şekilde asla plan yapılamamış ve bizi yine saçma sapan yerlerde durdurup sırf anlaşma yaptıkları yerlere götürmek için zamanımızı harcadılar. Yine yemek için götürdükleri yer rezaletti. Dört köfte konulan buz gibi tabağa 400 Tl verdik. Yine aç bir şekilde şuan yeni şile yoluna doğru girdik Ağvaya hiç gidemeyecekmişiz. Dönüş saatimiz 24.00 civarı olacak denmişti. Şuan şileye iki saat yolumuz var en az. Bu kadar plansız ve kötü iletişim olan bir tur görmemiştim. Hafta sonumuz mahvoldu. Asla tercih etmenizi önermem.","1"
"7-9 Kasım Bolu Abant yedigöller ormanya maşukiye şili ağva turuna katıldım.Gezipol şirketi ile görüştüğümüzde kendilerinde yer olmadığı ama 2. Otobüsü çıkaracaklarını söyledir.Bu süreçte hep gezipol ile iletişimdeydik,hatta parayı da göndermemiz için bize attıkları iban kendi ibanlarıydı fakat karşılaştığımız manzara içler acıdısıydı.Turun gezipol ile hiçbir alakası yoktu.Cmr turizm diye bi firma ile tura çıktık.Haftaiçi çok yoğun çalıştığımız için 3 haftada 1 boş olan haftasonumuzda kafamız dağılsın güzel keyifli vakit geçirelim isterken daha da yıpranarak sinir stres sahibi olarak ayrıldık.Düzenden planlamadan çok eksikti.İlk gün boluya vardığımızda bi tesiste kahvaltı yaptık.350 TL’ydi ve çok kötü bi kahvaltıydı.Tuvaletler rezaletti çoğu turun burası ile anlaşması varmış sanırım her tur getirdiği kişi başına ücret alıyor ,her gelene hangi turla geldiniz diye soruyorlar,tuvaletler sadece üç taneydi inanılmaz kuyruklar oluyordu hatta bir süre sonra erkekler tuvaletine girmek zorunda kaldık. tuvaletlerde peçeteyi geçtim sabun bile yoktu yerler tuvalet kağıtları ve çöp içindeydi. Üstelik Abant ve Gölcüğü gezdikten sonra öğlen yemeğine de bizi buraya getirdiler. yemekler çok pahalı ve yine kötüydü bunu rehbere söylememize rağmen bize burası çok meşhur bir yer herkes buraya geliyor şeklinde cevap verdi.Yedigöller’e ekstra 600 TL minibus ücreti verdik. Bindiğimiz minibüs çok eski ve tedbirsizdi. Elimiz Yüreğimizde bütün yolu gitmek zorunda kaldık. Çok yoğun ve plansız bir şekilde yola çıktığımız için yolda saatlerimiz geçti Yedigölleri koştur koştur gezdik hiçbir şey anlamadık. Bir çoğumuz özellikle Yedigöller için gelmişti maalesef.Dönüşte minibüs bozuldu içeri inanılmaz bir koku sardı içinde mahsur kaldık bir süre kapı açılmadı. O kadar plansız programsız da ki tam üç saatimiz dönüş yolunda geçti. Otele vardığımızda saat 22.00dı ve biz akşam yemeğini otelde yiyecektik . Ertesi gün sabah ormanya ya gittik. Ormanya’yı gezdikten sonra otobüsümüz biraz ilerideki otoparkta bekliyordu. Otobüse yürürken hemen yanımızda pişmaniye satılıyordu.Bize de ücreti de makul geldiği için bi çok kişi 10 dakika kadar bir sürede hızlıca aldık.Fakat rehber bizi bi tesise götüreceğini orada alabileceğimizi söyledi ve herkesi azarladı.Böyle giderse ertesi gün öğle evde olurmuşuz.Fakat kendisinin plansızlığından ötürü her şeye çok geç kaldık,pişmaniye almak için götürdüğü yerde tek bir mağaza vardı ve ücretler 2 katıydı.Tam 1 saat orada oyalandık.Pişmaniye almak için gideceğimiz tesisten önce bize Yemek için de köfteci Yusuf’ta yiyeceğimizi söyledi fakat geri otobüse bindiğimizde bizi Google mapsten puani 3,1 olan,çok pis ve 4 köftenin 400 tl olduğu hizmetin çok kötü olduğu bi yere götürdüler.Şu an Şili’ye gidiyoruz ve saat 17.00 daha 1,5 saat yolumuz var.Ve daha bunun İzmir’e dönüşü var.Ağvanın da tur programında olmasına rağmen orada şu an yüzülmez tekneler de çalışmıyor diyerek iptal etti.","1"
"Katılmış olduğum 3 gece 4 günlük GAP turunda çeşitli aksaklıklar ve mağduriyetler yaşadım. Tur programında yer almasına rağmen Dara Antik Kenti ve Beyazsu gezileri gerçekleştirilmedi. Ayrıca konaklama konusunda da son anda değişiklik yapılarak, planlanan otele yerine yaklaşık 1,5 saat uzaklıktaki başka bir otelde konaklamak zorunda bırakıldık.

Bu durum hem tur süresince zaman kaybına neden olmuş hem de tur programında vaat edilen hizmetlerin yerine getirilmemesi sonucunu doğurmuştur. Yaşanan mağduriyetin telafisi adına gerekli incelemenin yapılararak, tarafıma uygun bir çözüm sunulmasını talep ediyorum.","1"
"Günümüzü mahvettiniz canımızı tehlikeye attınız. Fren tutmadı fren. Arabadan duman çıktı 1 saat 40 derece güneşin altında otobam kenarında düneşin alnında bekledik. dönüşte bitmeyeceğimizi söyledik başka araç gelecek dediniz. Dönüşte 1 saatte araba yapıldı deyip aynı arabaya bineceksiniz milleti galeyana getirmeyin diyorsunuz. Binip sağ salim inemezsem herkes bu yorumu görsün. Canınızı seviyorsanız binmeyin bu turu yanından geçmeyin.","1"
"Katıldığım GAP turunda yaşadığım bazı olumsuzlukları paylaşmak istiyorum. Tur genel anlamda kötü yönetildi. Programda ciddi gecikmeler yaşandı, planlanan saatlere uyulmadı. Ayrıca turun yönetiminde gecikmeler, koordinasyon eksikliği ve bilgilendirme yetersizliği de yaşadık. Katılımcılar olarak ne olup bittiğini çoğu zaman sonradan öğrenmek zorunda kaldık. Bu durum, hem zaman kaybına hem de plansız ilerleyen bir yolculuk deneyimine sebep oldu.

Sonuç olarak, ödediğimiz ücretin karşılığını alamadığımızı düşünüyor ve hizmet kalitesinden memnun kalmadığımı belirtmek istiyorum. Bu olumsuzlukların giderilmesi ve gerekli iyileştirmelerin yapılması için gereğinin yapılmasını talep ederim.","1"
"Sevgili rehberimiz Melisa korlaelçi eşliğinde çok keyifli bir tur oldu. Kendi adıma çok teşekkür ediyorum🌼","1"
