Yorum,Yildiz,Ulasim,Rehber,Organizasyon,Otel,Yemek
"Berbat ötesi tiflis turuydu.Melisa hanım tiflisi bilmiyor,Turşa ilgili hiç biseyi kontrol edemiyor. Söyledikleri otelde kalmadık rezervasyonumuzu yapamamışlar bildiğiniz tiflis dışında tepe bi yerde kaldık merkeze 45 dakika. Otobüs gelemediği için taksiyle kendi paramızla gittik her yere.yılbaşında kardan dolayı yollar kapandı o kadar tepe bir yer. Otostopla otelimize geldik. Tuttukları otel Kopala Tskneti. Hatta Melisa hanım merkezdeki Kopala otel sanıp bizi başta oraya yolladı sonra geri yanlış olmuş diyerek tiflisin dağındaki Kopala tskneti oteline geldik/ kartis deda heykeli bile göremeden turu bitirdik",1,2,0,2,2,0
"14 Temmuz günübirlik Mavigöl Ordu turuna katıldık yaş ortalaması oldukça yüksekti rehberimiz Nazlı hanım bize eşlik etti saat ayarlaması berbat geçen bir gezi deneyimi oldu insanları arabaya binmeye biz teşvik ettik zaman dan kazanabilmek için verilen zamanda kimse arabada olmadı hep bekledik mavigöl çamurlu denildiği halde çok zaman kaybettik traverterlerde de öyle insanlar bir saat öncesinden sıkılıp otobüs içerisinde beklediler ardından orduya geldiğimizde teleferik ve ters eve zamanımız kalabildi kızağa binemedik sayelerinde asıl isteğimiz ona binebilmekti kuyruk 2 saat sürdüğü için verilen zaman 1,5 saat aktivitemizi gerçekleştiremeden kayanları izleyip anlaşmalı oldukları dinlenme tesisinde yarım saat 9:30 da yemek molası na çıktık herkes boztepe de yemeğini yemişti fazla diyerekten yola devam etmek istedik kötü bir tecrübe oldu bir daha asla tercih etmem bu firmayı",1,2,2,2,0,2
"44 arkadaş Samsun merkezli Gezi Life isimli firmadan Gap Turu satın aldık. 16.05.2025 tarihinde akşam saat 22:00’da Amasyanın Merzifon ilçesinden yola çıktık. Bir süre sonra aracın motor sesi çok anormal bir şekilde yükseldi. Otobüsün içerisinde yan yana iki arkadaş konuştuğunu duyamaz hale geldi ve otobüse yoğun bir yanık kokusu yayıldı. Bu konudaki uyarılarımız ve serzenişlerimiz hiç dikkate alınmadı. Araç Kayseri’de gece 04.00 sıralarında arıza yaptı. Şoförler motorla ilgili bazı işlemler yaptı. Geçici bir çözümle araç yola çıktı. Ancak motor sesi artarak devam etti yaklaşık 8-10 km sonra araç bir daha arıza yaptı. Uzun süre yolda kaldık. Firma sahibi ile görüşmek istedik. Gezi başlamadan önce rahatlıkla ulaşabildiğimiz numaraya bir türlü ulaşamadık. Tarafımıza geri dönüş te olmadı. Ancak otobüsteki firma yetkilisi, firma sahibini aradığında telefona cevap verildi. Bu araçla yola devam etmek istemediğimizi,son derece güvensiz olduğunu,canımızı sokakta bulmadığımızı söyledik. Firma sahibi gayet gevşek bir şekilde araçlarımız bakımlı siz otobüs motorundan ne anlarsınız hocam diye cevap verdi. Şoförler yine geçici bir çözümle aracı hareket edebilecek hale getirdiler. Tekrar yola çıktık bir süre sonra araç virajlı bir tünelin ortasında tekrar arıza yaptı. Tünelin içinde yanımızdan süratle geçen arabaların altında kalmamaya çalışarak otobüsteki 44 kişi tünelin içinden ölmeden çıkmayı başardık. Bu telaşla koşuşturan arkadaşlardan birisi çukura düşerek ayağını burktu. Uzun süre sonra gelen üç minibüsle kahvaltı yapacağımız alana gittik. Tabi bu arada 3,5 saat zaman kaybettik ve gezi planımız tamamen altüst oldu. Gün içerisinde başka bir otobüs geldi bu sefer de 44 kişilik grubumuz için 39 kişilik bir otobüs gönderdiler. 5 arkadaşımız otobüste ayakta kaldı onlar için de Uzun süre başka bir araç bekledik. Bir otobüs ve kliması çalışmayan bir minibüsle gezimize devam ettik. Fakat çilemiz bitmedi ve Tokatla Turhal arasında otobüsün lastiği patladı. Firma yetkilisi bizi orada bırakıp arkadan gelen başka bir Gezi Life otobüsüne bindi ve gezinin bitimine yaklaşık 200 km kala otobüsü terk etti. Şoförler zar zor bir lastikçi bulup lastiği yaptırdılar ve planın çok çok gerisinde kalarak memleketimize döndük.",1,2,0,2,0,2
"İki turu birleştirdikleri için aynı yorumu buraya da yazıyorum.
16-19 Ekim Batum-Tiflis turuna katıldık. Otobüsten memnun kalmadık. Bir çok sıcak, bir soğuk.
İki turu birleştirmişler (Gezione-Gezilife). Bu da insana aptal hissettiren birinci detay.
Sınırda otobüsü yarım syedeaatten fazla bekledik, orda beklerken pahalı diye paranızı çevirmeyin dediler. Bizi ""Lari"" almak için götürdükleri yer de aynı kurdan veriyordu. Orada da bütün yolcuların döviz almasını yarım saatten fazla bekledik. Aynı kurdan alacaksak aracı beklerken sınırdan da alabilirdik Lari'yi. Durduğumuz yerde tuvalete bile kabul edilmedik akaryakıt istasyonunda ki bunu rehber biliyordu, araçtan inmeden söylemişti. Neden böyle bir yerde durduğumuzun mantıklı hiç açıklaması yok.
Tiflis'e giderken yemek yemek için durduğumuz işletmesi Türk olan yer de aşırı pisti, tuvaletlere daha girmeden bile kokuyordu. Fiyatlar uygun falan da değildi. Hayatımda gördüğüm en kalitesiz tuvalet kağıdına sahiplerdi. Helal diye götürdüler ama ben helal sertifikası da bakındım, görmedim. Aynı yerde bir de dönüşte durunca hepimiz isyan ettik başka yer yok mu diye. Yemek falan yemedik bir daha. Sabah otelde yediğimizle akşam etmişken bir de Trabzon'da çay fabrikasında durduk yemekten önce. 1-2 dk'lık tanıtımın ardından çay satışı yaptılar.
Otel iyiydi hakkını vereyim, biraz merkeze uzaktı.
Turun içeriğine sadece oteldeki 2 sabah kahvaltısı dahil. Diğerleri ekstra.
Gürcü gecesine katıldık, ortam ve yemekler (mantı hariç ) iyiydi.
Ama tur boyunca kendimizi kullanılmış gibi hissettik. Koyun gibi güdüldük. Önceden tanışıklık olan yere gidilecekse bunun bize bir avantajı olmalı. Bir avantaj göremedik.
Bir daha bu turla asla!",1,2,2,2,1,2
"Gezilife ile katıldığımız Tiflis turu tam anlamıyla hayal kırıklığıydı. Organizasyon tamamen yetersizdi ve firma tur detaylarını doğru şekilde planlayamamıştı.

Bize Tiflis merkezinde konaklayacağımız söylenmesine rağmen otel rezervasyonumuz yapılmamış. Bunun sonucunda şehir merkezine 45 dakika uzaklıkta, dağlık ve izole bir bölgede bulunan Kopala Tskneti adlı otele yerleştirildik. Firma, bu oteli merkezdeki Kopala Otel ile karıştırmış; önce yanlış otele yönlendirilip ardından “yanlış olmuş” denilerek tekrar dağdaki otele götürüldük.

Ulaşım organizasyonu da tam bir fiyaskoydu. Otobüs gelmediği için tüm ulaşımlarımızı kendi cebimizden taksiyle sağlamak zorunda kaldık. Yılbaşı döneminde yoğun kar nedeniyle yollar kapandı, otelin bulunduğu konum aşırı tepelik ve riskliydi. Bir noktada otelimize otostopla dönmek zorunda kaldık.

Bu kadar aksaklığa rağmen Tiflis’i doğru düzgün gezemedik. Şehrin simgelerinden biri olan Kartlis Deda heykelini bile göremeden tur sona erdi.

Gezilife’ın bu turda sunduğu hizmet, vaat edilen programla hiçbir şekilde örtüşmedi. Ciddi mağduriyet yaşadık. Kesinlikle tavsiye etmiyorum.
Kaldığımız yerin konumu aşağıdadır",1,2,0,2,2,0
"Hangi birini anlatayım. 20 26 Eylül premium ege turuna katıldım. İzmir e kahvaltı için indiğimiz yer berbat ötesi. 400 tl etmeyecek bir kahvaltı. Yan tarafta fırında boyoz çay için çok daha iyi. Tür görevlisi Melisa hanım hiç ilgilenmedi. Memnunmusunuz bir eksik varmı diye sormak bile. O gün rehber gelecekti gelmedi. Melisa hanıma bir aksaklık bildirince dayak yemediğimiz kaldı. Üslubu çok kötü. Kuşadasında kaldığımız otel vasat. Hele Fethiye'de kaldoğımız otel virane. Sıcak su akmıyor. Asansör yok. Türü satarken bildirmeleri anlatmaları gerek bunları. Anlayacağınız yalan, ilgisiz, organizasyonu sıfor. Paranızla rezil olmak istiyorsanız buyrun. Gezilife ile ilk ve son. Soğuk su ile duş almaktan hastalanması cabası",1,0,2,2,2,2
"30-02 Ocak tiflis turundan memnun değiliz , ofiste şehri hanım ın söylediği otel yerine, şehrin dışında ki dağ başında bir otele yerleştirildik. Tur rehberimiz Melisa hanım tarafımıza bilgi verildiğini söyledi, fakat tarafımıza bilgi verilmedi. Arama kayıtları çıkartıp belge olarak sunabiliriz. Tiflis i adamakıllı gezemedik, otelin konumunun uzak olmasından kaynaklı diğer misafirler ile aynı haklara sahip olamadık.",1,0,2,1,2,0
25 Ekim 2025 bartın Amasra tura katıldım otobüs yerine minibüs le götürdüler ücret olarak farklı uygulama yaptıkları gibi neredeyse tamamen türa katılanlar kendi çapımızda gezdik ilgi alâka yok yemek konusunda da şartları var illa ki bizim anlastigimiz yerde yenilecek bir daha asla gitmem tavsiye etmem,1,2,0,2,0,1
Cazılar deresi turuna katıldık görmeden dönüş yaptık gittiğimiz yol kapanmış ve bu yol her çarşamba kapanıyormuş çalışma olduğundan firma ya dediğimizde haberleri yoktu Bi çözüm üretmeye değil hemen geri iptal etme peşinde oldular para iadesi denildiğinde öyle bir şey söz konusu olamaz denildi ve herkes üzgün ve sinirli olarak dönüş yaptık tavsiye etmiyorum + kapalı olan cazılar deresi değil yol ve her çarşamba kapalı oluyormuş bunu biz mi bilicez ayrıca sağlık ve güvenlik konusunda sizden daha hassasım emin olun uzun süre tedavi sürecim oldu yeni atlattım intihar etmeyide düşünmüyorum ilk defa tura gitmiyoruz ve sadece benim dememle çıkılmadi bunu sizde biliyorsunuz 1 kişiye göre oraya çıkılmaz bu yol her çarşamba kapalıymış 😡,1,0,0,2,0,0
Gezilife turizmin 30 ağustos mavi göl gezisinin şöfürü sürekli otobüs de sigara içti ve yolcularda ön tarafa gelip personel koltuğunda sigara içtiler. Tur rehberi ise sigara içmelerine hiç birşey demedi ve gezinin saat planlaması çok kötüydü sürekli hızlı yetişmemiz lazım otobüsün gece başka seferi var diyerek sürekli acele ettirdiler. Otobüsün başka sefere gitmesi yolcuları hic alakadar etmez yani hic hoşumuza gitmedi.,1,2,2,2,0,0
